Corriente(mA);Voltaje(V)
0.0;0.0
-0.03663004;0.0080586088
0.00732601136;0.013699633
-0.010989013;0.025787546
0.01831501;0.02981685
-0.032967024;0.049963368
-0.018315016;0.0596337
-0.014651973;0.0676923
-0.0512820768;0.08864469
0.014651973;0.08461539
-0.0512820768;0.107179484
-0.01831505;0.116043952
-0.07692311;0.13699634
-0.043955984;0.14263736
0.018315016;0.15311356
-0.047618964;0.16761904
-0.065934116;0.18454214
-0.03663003;0.1934066
-0.0512820768;0.20630036
-0.010988929;0.21113552
0.018315016;0.23047618
-0.04029308;0.240952384
-0.058608092;0.25787548
0.014651906;0.2635165
-0.0036631116;0.2715751
0.014652177;0.27882782
-0.018315016;0.29736264
-0.025641106;0.30622712
-0.025641106;0.32234432
0.0402928736;0.32234432
-0.029304082;0.34652016
-0.018315016;0.35377288
-0.025640968;0.36666668
-0.03663003;0.381172184
0.0036631116;0.381978
-0.043955984;0.40212452
0.018315016;0.40454212
0.043955984;0.42307692
-0.03663003;0.44644688
0.0036631116;0.44805858
-0.021977992;0.464175816
0.00732608836;0.46820512
0.0402928736;0.48593408
-0.021977858;0.50205124
-0.05860789;0.5173626
0.014652177;0.5173626
-0.018315154;0.532674
-0.04029274;0.549597
0.040293008;0.5512088
-0.018315154;0.5721612
0.0;0.5802198
0.010988929;0.58908424
0.0036632472;0.6060073
0.04029328;0.6140659
-0.0036629764;0.6326007
0.014651906;0.6390476
0.040293008;0.64468868
-0.010988929;0.665641
0.03663003;0.6753113
0.03296733;0.68659336
0.029304082;0.6970696
0.03663003;0.7083516
0.021978128;0.7228571
0.047618964;0.73655676
0.043956256;0.74864468
0.08424872;0.762344368
0.03663003;0.7784616
0.0036629764;0.78813184
0.047618964;0.8010256
0.014652177;0.8179487
0.0036629764;0.838095236
0.03663003;0.8389011
0.043955716;0.85421248
0.0109892;0.86468868
0.051282212;0.87435896
-0.025641106;0.9025641
0.007325953;0.9049817
0.010988929;0.9186813
0.043955984;0.9210989
0.04029274;0.9396337
0.058608164;0.949304
0.032967056;0.96703292
0.025641106;0.97750916
0.06227114;0.9823443
0.07692304;0.9928205
0.03296679;10.113.553
0.043956256;10.202.197
0.03296679;10.371.429
0.007325953;10.484.248
0.021977858;1.065.348
0.010988387;10.798.535
0.058608164;1.082.271
0.080586016;10.838.828
0.058607624;11.064.469
0.04029328;11.217.582
0.0036624344;1.134.652
0.0;11.475.457
0.06227168;11.491.574
0.06227114;11.596.336
0.054945184;11.733.333
0.065934116;11.821.978
0.08791197;11.878.388
0.084249;1.210.403
0.06227114;12.232.966
0.007325953;12.353.846
0.14652012;12.369.963
0.07326006;12.587.546
0.08791197;12.652.014
0.0036629764;1.290.989
0.03296733;13.006.593
0.062270596;13.071.062
0.054945184;13.199.999
0.07326006;1.337.729
0.054945184;13.554.579
0.087911432;13.514.286
0.0;13.796.337
0.065934116;13.788.278
0.06959655;13.901.099
0.058608164;14.078.388
0.07692304;14.102.564
0.04761869;14.320.147
0.03296733;14.497.435
0.029304354;14.578.022
0.029303812;14.682.784
0.018314882;14.803.664
0.04029274;14.884.249
0.04761869;14.989.011
0.018314882;15.424.175
-0.007325953;15.617.582
0.043955716;15.609.524
-0.0036629764;1.585.934
0.043955716;15.851.282
0.058607624;15.996.337
0.021977858;16.141.392
0.07692304;16.189.743
0.03296679;16.318.681
0.09890036;16.415.385
0.036630308;16.632.966
-0.021977858;168.505.484
0.014652447;16.866.666
0.043956256;169.472.532
0.054945184;17.027.838
-0.014651906;17.261.538
0.069597096;17.261.538
0.054945184;17.382.418
0.054945184;1.754.359
0.025640834;177.450.544
0.032966244;178.498.168
0.043955716;178.498.168
0.036629764;180.351.652
0.010989471;18.164.102
0.007325411;18.309.158
0.025640834;183.816.852
0.058608164;184.380.944
0.025641376;185.992.668
-0.04029274;18.905.494
-0.043956256;1.899.414
0.018314882;189.699.632
0.014652447;19.123.076
0.018315424;19.171.428
-0.04029274;19.413.186
0.032966244;1.939.707
0.05128167;19.477.656
0.025640834;19.646.886
-0.025640834;198.402.932
0.04761869;198.805.868
0.036630308;19.993.406
0.018314882;20.114.286
-0.0073270365;20.259.342
0.025640834;20.339.928
0.014652989;20.452.744
-0.018314882;20.589.742
0.073259528;2.062.198
0.117215252;2.062.198
0.018314882;20.976.556
0.010988929;21.137.728
-0.010987845;21.250.548
0.0036629764;21.443.956
0.03296787;21.419.778
0.025641918;21.572.892
-0.04761869;21.782.418
0.018315966;2.187.912
0.007324869;2.200.806
0.06593358;21.911.356
-0.0073270365;22.193.408
-0.021977858;22.249.816
0.05128167;22.314.286
-0.0036629764;22.547.984
0.018314882;2.264.469
0.051282752;22.709.156
0.058607624;2.269.304
0.175825032;22.821.976
0.12820526;2.292.674
0.183150992;230.315
0.190475852;23.071.794
0.19780288;23.136.264
0.15384718;2.331.355
0.31135516;23.176.556
0.27838728;23.257.144
0.3626379;23.216.848
0.369962784;23.297.436
0.44688636;2.338.608
0.43223448;23.434.432
0.51281992;2.338.608
0.57142868;23.361.904
0.71794984;2.331.355
0.71794984;23.474.724
0.7912094;23.515.016
0.857143;23.426.372
0.83150104;23.579.488
0.8791208;23.724.542
0.8864468;2.368.425
10.293.039;23.603.664
0.9963361;23.845.422
10.695.966;23.652.014
11.794.871;23.716.484
1.197.802;23.780.952
12.930.405;23.668.132
13.956.059;23.676.188
15.018.312;2.361.978
151.282;237.326
15.897.427;2.380.513
1.703.296;23.716.484
17.472.527;23.756.776
179.487.252;23.813.186
18.388.271;23.934.066
19.670.324;23.764.836
20.622.708;23.813.186
20.989.018;23.877.654
21.794.872;2.385.348
22.710.626;23.877.654
2.384.615;23.893.774
24.029.298;23.990.476
25.347.982;2.397.436
26.739.924;2.397.436
27.582.404;23.845.422
289.011;23.893.774
29.670.324;23.942.124
2.901.099;24.054.944
31.538.464;2.407.912
33.113.544;24.006.594
339.926.816;2.402.271
354.212.536;24.038.828
350.915.736;2.426.447
367.032.932;24.038.828
38.058.616;24.103.296
39.743.586;2.408.718
40.952.376;23.990.476
4.040.293;24.111.354
40.256.416;24.143.588
40.146.512;24.167.766
4.040.293;24.111.354
40.036.636;2.419.194
39.926.736;24.216.118
39.816.856;2.424.029
